date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:07	989/989	---M--	200	added ('OK')	image/gif	etag:%2229c274-3dd-3f20d934%22	wolfpack.twu.net/SearchAndRescue/manual/icon_bulb.gif	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/icon_bulb.gif	(from wolfpack.twu.net/SearchAndRescue/manual/controls.html)
14:52:17	58387/58387	---M--	200	added ('OK')	image/png	etag:%2229c0c2-e413-3f20d86f%22	wolfpack.twu.net/SearchAndRescue/manual/aircraft_details.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/aircraft_details.png	(from wolfpack.twu.net/SearchAndRescue/manual/free_flight.html)
14:52:21	22048/22048	---M--	200	added ('OK')	image/png	etag:%2229c0c6-5620-3f20d88c%22	wolfpack.twu.net/SearchAndRescue/manual/camera.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/camera.png	(from wolfpack.twu.net/SearchAndRescue/manual/views.html)
14:52:25	111893/111893	---M--	200	added ('OK')	image/png	etag:%2229c27c-1b515-3f20d9de%22	wolfpack.twu.net/SearchAndRescue/manual/sound_menu.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/sound_menu.png	(from wolfpack.twu.net/SearchAndRescue/manual/setup.html)
14:52:26	141433/141433	---M--	200	added ('OK')	image/png	etag:%2229c277-22879-3f20d991%22	wolfpack.twu.net/SearchAndRescue/manual/main_menu.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/main_menu.png	(from wolfpack.twu.net/SearchAndRescue/manual/setup.html)
14:52:26	122771/122771	---M--	200	added ('OK')	image/png	etag:%2229c271-1df93-3f20d924%22	wolfpack.twu.net/SearchAndRescue/manual/graphics_menu.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/graphics_menu.png	(from wolfpack.twu.net/SearchAndRescue/manual/setup.html)
14:52:26	30385/30385	---M--	200	added ('OK')	image/png	etag:%2229c0c7-76b1-3f20d89b%22	wolfpack.twu.net/SearchAndRescue/manual/cockpit.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/cockpit.png	(from wolfpack.twu.net/SearchAndRescue/manual/views.html)
14:52:28	5531/5531	---M--	200	added ('OK')	image/png	etag:%2229c0ce-159b-3f20d8ca%22	wolfpack.twu.net/SearchAndRescue/manual/flying_bank.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/flying_bank.png	(from wolfpack.twu.net/SearchAndRescue/manual/flying.html)
14:52:28	7225/7225	---M--	200	added ('OK')	image/png	etag:%2229c26c-1c39-3f20d8e1%22	wolfpack.twu.net/SearchAndRescue/manual/flying_pitch.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/flying_pitch.png	(from wolfpack.twu.net/SearchAndRescue/manual/flying.html)
14:52:29	4649/4649	---M--	200	added ('OK')	image/png	etag:%2229c26a-1229-3f20d8d3%22	wolfpack.twu.net/SearchAndRescue/manual/flying_heading.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/flying_heading.png	(from wolfpack.twu.net/SearchAndRescue/manual/flying.html)
14:52:29	30095/30095	---M--	200	added ('OK')	image/png	etag:%2229c279-758f-3f20d9a7%22	wolfpack.twu.net/SearchAndRescue/manual/outside.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/outside.png	(from wolfpack.twu.net/SearchAndRescue/manual/views.html)
14:52:30	959/959	---M--	200	added ('OK')	image/gif	etag:%2229c284-3bf-3f20d945%22	wolfpack.twu.net/SearchAndRescue/manual/icon_warning.gif	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/icon_warning.gif	(from wolfpack.twu.net/SearchAndRescue/manual/flying.html)
14:52:30	24380/24380	---M--	200	added ('OK')	image/png	etag:%2229c278-5f3c-3f20d99c%22	wolfpack.twu.net/SearchAndRescue/manual/map.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/map.png	(from wolfpack.twu.net/SearchAndRescue/manual/views.html)
14:52:30	12597/12597	---M--	200	added ('OK')	image/png	etag:%2229c269-3135-3f20d8d0%22	wolfpack.twu.net/SearchAndRescue/manual/flying_collective.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/flying_collective.png	(from wolfpack.twu.net/SearchAndRescue/manual/flying.html)
14:52:32	21781/21781	---M--	200	added ('OK')	image/png	etag:%2229c26b-5515-3f20d8dc%22	wolfpack.twu.net/SearchAndRescue/manual/flying_landing.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/flying_landing.png	(from wolfpack.twu.net/SearchAndRescue/manual/flying.html)
14:52:33	18709/18709	---M--	200	added ('OK')	image/png	etag:%2229c26d-4915-3f20d8e9%22	wolfpack.twu.net/SearchAndRescue/manual/flying_rescue01.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/flying_rescue01.png	(from wolfpack.twu.net/SearchAndRescue/manual/flying.html)
14:52:33	19781/19781	---M--	200	added ('OK')	image/png	etag:%2229c26e-4d45-3f20d8f1%22	wolfpack.twu.net/SearchAndRescue/manual/flying_rescue02.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/flying_rescue02.png	(from wolfpack.twu.net/SearchAndRescue/manual/flying.html)
14:52:33	5156/5156	---M--	200	added ('OK')	image/png	etag:%2229c0c4-1424-3f20d878%22	wolfpack.twu.net/SearchAndRescue/manual/as350.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/as350.png	(from wolfpack.twu.net/SearchAndRescue/manual/aircrafts.html)
14:52:33	19676/19676	---M--	200	added ('OK')	image/png	etag:%2229c26f-4cdc-3f20d8f9%22	wolfpack.twu.net/SearchAndRescue/manual/flying_rescue03.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/flying_rescue03.png	(from wolfpack.twu.net/SearchAndRescue/manual/flying.html)
14:52:34	7257/7257	---M--	200	added ('OK')	image/png	etag:%2229c273-1c59-3f20d930%22	wolfpack.twu.net/SearchAndRescue/manual/hh65.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/hh65.png	(from wolfpack.twu.net/SearchAndRescue/manual/aircrafts.html)
14:52:35	8173/8173	---M--	200	added ('OK')	image/png	etag:%2229c272-1fed-3f20d92b%22	wolfpack.twu.net/SearchAndRescue/manual/hh60.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/hh60.png	(from wolfpack.twu.net/SearchAndRescue/manual/aircrafts.html)
14:52:35	5328/5328	---M--	200	added ('OK')	image/png	etag:%2229c27a-14d0-3f20d9aa%22	wolfpack.twu.net/SearchAndRescue/manual/s64.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/s64.png	(from wolfpack.twu.net/SearchAndRescue/manual/aircrafts.html)
14:52:35	9155/9155	---M--	200	added ('OK')	image/png	etag:%2229c276-23c3-3f20d94c%22	wolfpack.twu.net/SearchAndRescue/manual/ka27.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/ka27.png	(from wolfpack.twu.net/SearchAndRescue/manual/aircrafts.html)
14:52:36	14869/14869	---M--	200	added ('OK')	image/png	etag:%2229c27e-3a15-3f20da0a%22	wolfpack.twu.net/SearchAndRescue/manual/v22.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/v22.png	(from wolfpack.twu.net/SearchAndRescue/manual/aircrafts.html)
14:52:36	6522/6522	---M--	200	added ('OK')	image/png	etag:%2229c287-197a-3f20d87c%22	wolfpack.twu.net/SearchAndRescue/manual/b47.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/b47.png	(from wolfpack.twu.net/SearchAndRescue/manual/aircrafts.html)
14:52:36	8108/8108	---M--	200	added ('OK')	image/png	etag:%2229c289-1fac-3f20da03%22	wolfpack.twu.net/SearchAndRescue/manual/uh1d.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/uh1d.png	(from wolfpack.twu.net/SearchAndRescue/manual/aircrafts.html)
14:52:36	18607/18607	---M--	200	added ('OK')	text/html	etag:%2229c2b3-48af-3f20d8aa%22	wolfpack.twu.net/SearchAndRescue/manual/creatingobjects.html	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/creatingobjects.html	(from wolfpack.twu.net/SearchAndRescue/manual/createyourown.html)
